Sample in Buffer,Sample in Window,TRIGGER,w_accum_data[47:0],w_rom_data[15:0],o_led_OBUF[9:9],w_count[9:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
334,334,0,0011eafd42a2,3bf9,0,191
335,335,0,0011eafd892c,ee26,0,192
336,336,0,0011eafdc525,3199,0,193
337,337,0,0011eafdb34b,71f9,0,194
338,338,0,0011eafde4e4,48c3,0,195
339,339,0,0011eafe56dd,34a0,0,196
340,340,0,0011eafe9fa0,9bfd,0,197
341,341,0,0011eafed440,e3d2,0,198
342,342,0,0011eafe703d,1745,0,199
343,343,0,0011eafe540f,f599,0,19a
344,344,0,0011eafe6b54,8ce3,0,19b
345,345,0,0011eafe60ed,ba8b,0,19c
346,346,0,0011eafdedd0,558d,0,19d
347,347,0,0011eafda85b,8401,0,19e
348,348,0,0011eafdfde8,5d1c,0,19f
349,349,0,0011eafd81e9,93fc,0,1a0
350,350,0,0011eafddf05,2b46,0,1a1
351,351,0,0011eafd7301,000d,0,1a2
352,352,0,0011eafd9e47,b7ce,0,1a3
353,353,0,0011eafd9e54,1255,0,1a4
354,354,0,0011eafd5622,9f47,0,1a5
355,355,0,0011eafd6877,2bd1,0,1a6
356,356,0,0011eafd07be,197e,0,1a7
357,357,0,0011eafd338f,8e54,0,1a8
358,358,0,0011eafd4d0d,8e6c,0,1a9
359,359,0,0011eafcdb61,a70a,0,1aa
360,360,0,0011eafc69cd,8505,0,1ab
361,361,0,0011eafc10d7,ef67,0,1ac
362,362,0,0011eafb95dc,550c,0,1ad
363,363,0,0011eafb8543,1e0d,0,1ae
364,364,0,0011eafbda4f,0527,0,1af
365,365,0,0011eafbf85c,5d26,0,1b0
366,366,0,0011eafbfd83,9902,0,1b1
367,367,0,0011eafc5aa9,6876,0,1b2
368,368,0,0011eafbf3ab,9ba6,0,1b3
369,369,0,0011eafc5c21,0459,0,1b4
370,370,0,0011eafbf7c7,a4a5,0,1b5
371,371,0,0011eafbfc20,0f32,0,1b6
372,372,0,0011eafba0c5,812c,0,1b7
373,373,0,0011eafbaff7,4445,0,1b8
374,374,0,0011eafb3123,5945,0,1b9
375,375,0,0011eafb7568,6ab4,0,1ba
376,376,0,0011eafbcead,7ca9,0,1bb
377,377,0,0011eafc3961,0150,0,1bc
378,378,0,0011eafcb60a,c57b,0,1bd
379,379,0,0011eafcb75a,99ca,0,1be
380,380,0,0011eafc7cd5,0202,0,1bf
381,381,0,0011eafc169f,15ea,0,1c0
382,382,0,0011eafc18a1,434c,0,1c1
383,383,0,0011eafc2e8b,953d,0,1c2
384,384,0,0011eafc71d7,295e,0,1c3
385,385,0,0011eafc0714,0458,0,1c4
386,386,0,0011eafc3072,abc9,0,1c5
387,387,0,0011eafc34ca,7045,0,1c6
388,388,0,0011eafbe093,1729,0,1c7
389,389,0,0011eafc50d8,f0cd,0,1c8
390,390,0,0011eafc6801,7121,0,1c9
391,391,0,0011eafc58ce,27e9,0,1ca
392,392,0,0011eafcc9ef,f3b2,0,1cb
393,393,0,0011eafcf1d8,56f6,0,1cc
